BookID,Title,Author,Topic,UrlLink,Description,Thumbnail,Tags,HaveCount,WantCount,SellCount,AvgRating,RatingCount
53,Drafting Made Easy: A Guide for All Knitters,"Stern, Jill",Both Japanese and Passap Machines,https://amzn.to/3scneXv,,drafting_made_easy.jpg,Patterns,7,4,8,0.00,0
182,Easy and Elegant Double Knit Mittens,Grzegorczyk Lezley," ",,,NULL,Patterns,4,1,2,0.00,0
153,"Easy and Elegant Starburst Doiles: Includes 10, 22, and 36 inch dolies and 50 and 70 inch tablecloths","Grzegorcyk, Lezzley",Stitch patterns,,"Line by line instructions, no pictures or diagrams.",Easy and Elegant Dollies.jpg,Patterns,2,1,2,0.00,0
105,Easy Fairisle for the Brother Ribber,Mary Weaver,Techniques,,"Detailed easy to understand with illustrations and photos and charts. Includes  27 garment patterns with step by step instructions. Very detailed. Good for beginners and experts. ",image19.jpg," Fabric/Surface Design, charting, Finishing, General Reference, Machine Manual, Patterns, Techniques",6,2,9,0.00,0
192,"Easy Fairisle for the Brother Ribber (Electronic, Punchcards, including single bed patterns for chunky machines)",Weaver Mary," ",,,NULL," Fabric/Surface Design, Patterns",5,2,3,0.00,0
160,Easy Peasy 4 ply socks,Christine Westhead,Single Bed Knitting Machines,https://amzn.to/3S7Wqnr,"A quick and simple method of machine knitting 4 ply adult socks. Try sew-as-you-go for a seamless look on a flat bed machine. Charts for adjusting the pattern for larger sizes is included.  The author says ""I used to knit all my socks by the one seam method detailed on page 24 until my husband complained that the seam rubbed his toes. After a disastrous attempt at grafting, I came up with this sew-as-you-go method which is surprisingly quick, easy and perfect: no more sewing side seams and the toes are nice and smooth.""",Easy peasy 4 ply socks.jpg,"Patterns, Techniques",5,4,6,0.00,0
117,Exploring the E-6000 - Beyond the Basics,Jeanne Oneacre,Passap,,"Explanation of E-600 techniques so you understand what each does and ways to go beyond the basics    Demonstrates suggestions and uses beyond the manual. More advanced programming shown in detail. Practice with the sample patterns. Covers card reading and drawing. Comes with a video. Not for beginners, but helpful  to go to the next level. ",image30.jpg,"Patterns, Techniques",6,6,5,0.00,0
103,Fabulous Fairisle,John Allen,General Knitting,https://amzn.to/3wsHEhx,"Treasure trove of  gorgeous  full color fairisle designs for hand and machine knitters with charts for easy to punch cards, electronic machines or DAK. ",image171.jpg," Fabric/Surface Design, charting, Patterns, Techniques",7,5,10,4.00,1
15,Fashion Knit Course Outline,"Faust, Regina",Japanese Machines,https://amzn.to/38MjbKO,"This book contains the knitting exercises used in the 2 year fashion knit course that the author taught for 10 years at Sheridan College, in Oakville, Canada.<br><br> It is NOT a beginners instruction book, but it teaches all of the different skills required to  make use of the full capacity of the knitting machine as a versatile tool.",fashion_knit_course_outline_jpg.jpg,Techniques,16,5,6,4.00,3
10,Flawless Knit Repair,"Crockett, Rena",Both Japanese and Passap Machines,https://amzn.to/3kF3k3p,,flawless_jpg.jpg,"General Reference, Techniques",6,4,9,0.00,0
30,"Fundamentally Passap, Sylvia Jones","Jones, Sylvia",Passap,,,needs_image8.jpg,"General Reference, Techniques",6,2,6,0.00,0
99,Going Places in Ribber Skirts &Tops,Jan Mills and Jan Wold,Japanese Machines,,Step-by-step learning to use your Ribber.  Very detailed and great for beginners.,image14.jpg,"charting, Finishing, General Reference, Machine Manual, Patterns, Techniques",9,3,4,0.00,0
98,Going Places with the Passap in Mind,Jan Wold &Jan Mills,Passap,,"Step-by-step learning how to use a Passap E – 6000 or  Duomatic 80. Patterns for several different styles of sweaters or with charts and step-by-step instruction. And it goes through the various settings on the machine, what they mean and how to use them.  A great way to learn to use a Passap ",image13.jpg,"charting, Finishing, General Reference, Machine Manual, Patterns, Techniques",7,4,4,0.00,0
89,Going Places With Your Bulky,Jan Wold and Jan Mills,Japanese Machines,,Great way to learn how to use a bulky machine. It walks you through step-by-step use of the machine and includes patterns for you to try with step-by-step instructions.,image5.jpg,"charting, Finishing, General Reference, Machine Manual, Patterns, Techniques",6,2,4,0.00,0
112,Going Places with Your Compuknit 930/940,JanWold And Jan Mills,Japanese Machines,,"Step by step learning to use the Brother 930/940. Great for beginners. Starts with “Turn on your machine…” then walks you through every single step in making each of the 8 sweaters including patterning. ",image25.jpg,"charting, Finishing, General Reference, Patterns, Techniques",5,2,4,0.00,0
23,Guide to Knitting Techniques,Unknown,Japanese Machines,,,needs_image1.jpg,"General Reference, Techniques",5,2,3,0.00,0
22,Hand Knits by Machine,"Guagliumi, Susan",Both Japanese and Passap Machines,https://amzn.to/386z9iK,"Hand Knits by Machine is the one book that fully addresses the issues involved in adapting hand knit patterns and techniques to a knitting machine. Heavily illustrated with photographs and illustrations, the book puts as much emphasis on ""why"" as it does ""how"" and will guide both hand and machine knitters through the process.",kh_by_machine_susan.jpg,Techniques,29,3,5,4.75,4
171,Hand Manipulated Stitches for Machine Knitters,Sus Guagliumi,Hand Manipulation,https://amzn.to/4bPqUnJ,"Classic Inspiration for machine knitters using any machine.<br> Buy it new: <a href=""https://amzn.to/4bPqUnJ"" target=""_blank"">Knit it Now affliate link</a>",hand-manipulated-stitches-for-machine-knitters.jpg," Fabric/Surface Design",4,2,3,0.00,0
176,Hand Tooling with the Garter Carriage,Cater Elaine and Caroline Nelson," ",,,hand tooling.jpg,Garter Carriage,6,3,25,0.00,0
20,Hand-Manipulated Stitches for Machine Knitters,"Guagliumi, Susan",Hand Manipulation,https://amzn.to/38NaTCg,"Black and white, 250 pages, paper-back. HMS, the top-selling machine knit book for the last 20 years, has been used as a text in numerous schools in the U.S. and abroad. Paper back and hard cover editions available.",hand_manipulated_stitches.jpg,Techniques,46,3,5,4.78,9
108,Handknits by Machine,Susan Guagliumi,Techniques,https://amzn.to/3LuIVc4,"tips and tricks to make machine knits look more like hand Knits and help hand knitters learn to machine knit. Clear concise directions, explicit photographs. A great way to learn to use hand knitting techniques on a knitting machine.",image22.jpg," Fabric/Surface Design, charting, Finishing, General Reference, Patterns, Techniques",20,10,11,4.50,2
185,Handtooling on the chunky knitting machine,Kinder Kathleen," ",,,Handtooling-on-the-chunky-knitting-machine.jpg," Fabric/Surface Design",8,2,4,0.00,0
129,Haute Couture of the Cut and Sew Technique,Manon Salois,Japanese Machines,,"Easy to follow Step-by-step instructions for machine knitters wanting to learn to create cut and sew necklines, neckbands and armholes. Variety of neckline finishes and neckbands fully illustrated and with lots of sample projects to perfect your cut an sew skills. The accompanying video is even more explicit.",couture.jpg,"Finishing, Techniques",5,9,6,5.00,1
165,How to Chart Manual,Nancy King,General Knitting,," Large paperback (290+ pages) answers the questions of how to size and write garment pieces to fit any body measurements using all types of yarn.",how_to_chart.jpg,charting,6,5,6,0.00,0
62,"How To, 101 Ways to Seam, Join and Pick up Stitches",Yo’s Needlecraft,Both Japanese and Passap Machines,https://amzn.to/3vESLnl,,101 ways.jpg,Finishing,7,4,7,3.00,1
164,Japanese For Machine Knitters,Mary Weaver,Both Japanese and Passap Machines,,"This is a combination of a textbook  on the Japanese Language with emphasis on the characters, combined with a description of how Japanese machine instructions and knitting patterns are published.  <em>""The basis of a Japanese pattern is a detailed drawn shape of each garment section and the minimum of explanatory text.""</em> This is an excellent reference for anyone translating vintage manuals, magazines and patterns in Japanese.  Although the majority of the book focuses on the Japanese language <em> ""The ability to read Japanese text is less important than being competent with a charting device and understanding the information given on the drawn diagram""</em>",japanese_for_machine_knitters_book.jpg,General Reference,9,5,5,5.00,1
6,John Allen’s Treasure of Machine Knitting Stitches,"Allen, John",Both Japanese and Passap Machines,https://amzn.to/3FgSN7Y,"Designed as a complete guide for today's machine knitter, this book presents an array of stitches covering the structures of tuck stitch, lace, weaving, jacquards, cut float techniques, partial knitting, needle out effects, and edgings and braidings. The stitch patterns are designed to fit any standard 24 needle repeat, and the book contains alternative ideas for interpretation, and encourages the development of new ideas for exploiting the colour and texture of materials.",john_allen_stitches.jpg," Fabric/Surface Design, Techniques",28,5,16,4.67,6
138,Knit Alphabets Plus,John Swanson,Both Japanese and Passap Machines,,"Alphabet designs, monograms, as well as designs for animals, dinosaurs, flowers, hobbies, etc. with Charts and illustrations and a few hat patterns. If you need a design, it’s probably in this book. The smaller designs can be used on punchcards and the larger ones will work with DAK and electronics. ",image50.jpg," Fabric/Surface Design, Patterns",6,3,8,0.00,0
150,Knit Alphabets Plus for machine knitters,"Swanson, J. A.",Stitch patterns,,"Slantted alphabet Sideways alphabet, numerals, and hearts Cfest Alphabet Crest coaster pattern Square monogram Negative/Positive or sculptured alphabet Negative/Positive or sculptured alphabet Instructions Banner alphabet and numerals Script lower case alphabet Letterman alphabet Sport numeral Helpful hint: Fastening floats Sports with small alphabet and numerals Megaphone with small alphabet and numerals Flap ski hat patterns Music School Daze Crayons with lower case alphabet Cars and trucks Novelty vehicle gift bag pattern Anchors, whales, footprints Smiles Ducks, bear, sheep, elephant Dionsaur, icream cone, dog, frog, swans Flower, a tad of lace Bear, stars with Moon, Elephant Airplane, pig, utrtle Cat, Hobby Horse, Dog with bone Heart lollipopo, Rocking Horse, Cow Index",Knit Alphabets Plue.jpg,Patterns,6,5,6,0.00,0
147,Knit In Color:  Punch Card & Computer Patterns,"Havermann, P., Havermann, T., &Tim Havermann",Stitch patterns,,52 patterns with charts and directions for the following machines: Brother Knitking Toyota Singer Studio,Knit in color.jpg,Patterns,4,3,7,0.00,0
149,Knit Monograms plus...for machine knitters,"Swanson, J. A.",Stitch patterns,,"Instructions and designs for aplphabets, monograms, & numbers. 25 Heart designs 26 Strawberry & Apple designs 27 Butterlly designs 28 Punchcards",Knit Monograms plus1.jpg,Patterns,4,2,5,0.00,0
148,Knit Monograms pluss...for machine knitters,"Swanson, J. A.",Stitch patterns,,"Instructions and designs for aplphabets, monograms, & numbers. 25 Heart designs 26 Strawberry & Apple designs 27 Butterlly designs 28 Punchcards",Knit Monograms plus.jpg,Patterns,4,2,3,0.00,0
