Homestudy_libraryid,HomeStudy_courseid_fk,Dateadded,Credit_id_fk,memberid_fk,Subscriberfree
2119,32,2015-02-23 00:00:00.000,0,B6FC1624-9480-BF7F-2481-BF9C5AFE84AA,1
2120,8,2015-02-23 00:00:00.000,56818,B6FC1624-9480-BF7F-2481-BF9C5AFE84AA,0
2121,32,2015-02-24 00:00:00.000,0,4290DA5C-C6B1-6C1D-F917-703BE9351071,1
2122,8,2015-02-25 00:00:00.000,56906,71CC94CB-9C8F-C412-4C02-A66295203B5A,0
2123,34,2015-02-25 00:00:00.000,0,AFB64B4E-9B9C-92C4-F978-B77BD46ACD2E,1
2124,32,2015-02-25 00:00:00.000,0,C403DD3D-0DD4-406C-8265-A328FA1C830C,1
2125,32,2015-02-26 00:00:00.000,0,8EE01537-B84A-3E42-B924-05D43EFCE54D,1
2126,32,2015-02-26 00:00:00.000,0,9004763D-9F82-C23D-ED84-B380EB89E220,1
2127,32,2015-02-26 00:00:00.000,0,97876D37-F0E6-EA0D-90FC-BF761CE8882A,1
2128,32,2015-02-26 00:00:00.000,0,2F72F4E3-FC93-0DE1-FE07-A41D035F638C,1
2129,32,2015-02-26 00:00:00.000,0,FBD149D0-CF24-3887-D64C-1B200433800B,1
2130,32,2015-02-26 00:00:00.000,0,A93EB01D-A5F5-53B3-1B6D-5A70D905AF01,1
2131,32,2015-02-26 00:00:00.000,0,F0E205B7-0757-5E1D-A506-11DBFDB53FC8,1
2132,32,2015-02-26 00:00:00.000,0,2ABF496D-FAD1-7225-B244-E6973DA8630E,1
2133,32,2015-02-26 00:00:00.000,0,7E939E18-C71F-393D-2E1D-90F9211512E8,1
2134,32,2015-02-26 00:00:00.000,0,EB94B20D-E5BC-736C-2C2D-7974B21EBBA7,1
2135,32,2015-02-26 00:00:00.000,0,8A86BE0B-F2DE-A017-4E70-B29D7C500054,1
2136,32,2015-02-26 00:00:00.000,0,8ECC1460-E11B-4D9B-1ED0-7A2A0DD8BADD,1
2137,32,2015-02-26 00:00:00.000,0,10290F9A-E987-3433-3F25-03A869EB0F03,1
2138,32,2015-02-26 00:00:00.000,0,CB32CA9F-D665-3302-6672-E09D93A3B16C,1
2139,32,2015-02-26 00:00:00.000,0,B72A218B-BFDF-3B78-34B6-DBCFF4813D48,1
2140,32,2015-02-26 00:00:00.000,0,423CEB58-C995-1543-D8DA-4931FBC4EA64,1
2141,34,2015-02-26 00:00:00.000,0,8A86BE0B-F2DE-A017-4E70-B29D7C500054,1
2142,32,2015-02-26 00:00:00.000,0,3499B765-997E-65DC-BE2A-8C222B0C7EA2,1
2143,32,2015-02-26 00:00:00.000,0,B66CE495-E659-F2D7-7D22-470B96D58138,1
2144,32,2015-02-26 00:00:00.000,0,73CB3CDA-EA6F-B36B-B69B-7D71A4FA0BC8,1
2145,7,2015-02-26 00:00:00.000,56971,0E60DFBC-A63D-A49D-8015-08C233858652,0
2146,34,2015-02-26 00:00:00.000,0,3499B765-997E-65DC-BE2A-8C222B0C7EA2,1
2147,32,2015-02-26 00:00:00.000,0,395FFADD-EF06-EF0E-BA5B-85BDA419514D,1
2148,32,2015-02-26 00:00:00.000,0,9AEF03E6-B91B-0C84-DE27-5AE957C7BF3A,1
2149,32,2015-02-26 00:00:00.000,0,89547217-AE57-1DA6-0166-D19AC1860FFD,1
2150,32,2015-02-26 00:00:00.000,0,306B9F95-AA2A-E6EF-8E48-F49B1F9F95A7,1
2151,32,2015-02-26 00:00:00.000,0,050ACAC7-92BB-4ECC-1B07-8E5F9C8ADE5E,1
2152,32,2015-02-26 00:00:00.000,0,9D5834BD-EA8F-17F2-FD27-3A2CD0986B8E,1
2153,34,2015-02-26 00:00:00.000,0,0CBEBC43-04F3-806F-4EC2-B41A486B60A3,1
2154,32,2015-02-26 00:00:00.000,0,8EB529BF-FF32-D0FD-72E8-E7E55FF55F6A,1
